identifier,hardness,resistance
waxed_exposed_copper_lantern,3.5,3.5
waxed_weathered_copper_lantern,3.5,3.5
waxed_oxidized_copper_lantern,3.5,3.5
campfire,2.0,2.0
soul_campfire,2.0,2.0
sweet_berry_bush,0.0,0.0
warped_stem,2.0,2.0
stripped_warped_stem,2.0,2.0
warped_hyphae,2.0,2.0
stripped_warped_hyphae,2.0,2.0
warped_nylium,0.4,0.4
warped_fungus,0.0,0.0
warped_wart_block,1.0,1.0
warped_roots,0.0,0.0
nether_sprouts,0.0,0.0
crimson_stem,2.0,2.0
stripped_crimson_stem,2.0,2.0
crimson_hyphae,2.0,2.0
stripped_crimson_hyphae,2.0,2.0
crimson_nylium,0.4,0.4
crimson_fungus,0.0,0.0
shroomlight,1.0,1.0
weeping_vines,0.0,0.0
weeping_vines_plant,0.0,0.0
twisting_vines,0.0,0.0
twisting_vines_plant,0.0,0.0
crimson_roots,0.0,0.0
crimson_planks,2.0,3.0
warped_planks,2.0,3.0
crimson_slab,2.0,3.0
warped_slab,2.0,3.0
crimson_pressure_plate,0.5,0.5
warped_pressure_plate,0.5,0.5
crimson_fence,2.0,3.0
warped_fence,2.0,3.0
crimson_trapdoor,3.0,3.0
warped_trapdoor,3.0,3.0
crimson_fence_gate,2.0,3.0
warped_fence_gate,2.0,3.0
crimson_stairs,2.0,3.0
warped_stairs,2.0,3.0
crimson_button,0.5,0.5
warped_button,0.5,0.5
crimson_door,3.0,3.0
warped_door,3.0,3.0
crimson_sign,1.0,1.0
warped_sign,1.0,1.0
crimson_wall_sign,1.0,1.0
warped_wall_sign,1.0,1.0
structure_block,-1.0,3600000.0
jigsaw,-1.0,3600000.0
test_block,-1.0,3600000.0
test_instance_block,-1.0,3600000.0
composter,0.6,0.6
target,0.5,0.5
bee_nest,0.3,0.3
beehive,0.6,0.6
honey_block,0.0,0.0
honeycomb_block,0.6,0.6
netherite_block,50.0,1200.0
ancient_debris,30.0,1200.0
crying_obsidian,50.0,1200.0
respawn_anchor,50.0,1200.0
potted_crimson_fungus,0.0,0.0
potted_warped_fungus,0.0,0.0
potted_crimson_roots,0.0,0.0
potted_warped_roots,0.0,0.0
lodestone,3.5,3.5
blackstone,1.5,6.0
blackstone_stairs,1.5,6.0
blackstone_wall,1.5,6.0
blackstone_slab,2.0,6.0
polished_blackstone,2.0,6.0
polished_blackstone_bricks,1.5,6.0
cracked_polished_blackstone_bricks,1.5,6.0
chiseled_polished_blackstone,1.5,6.0
polished_blackstone_brick_slab,2.0,6.0
polished_blackstone_brick_stairs,1.5,6.0
polished_blackstone_brick_wall,1.5,6.0
gilded_blackstone,1.5,6.0
polished_blackstone_stairs,2.0,6.0
polished_blackstone_slab,2.0,6.0
polished_blackstone_pressure_plate,0.5,0.5
polished_blackstone_button,0.5,0.5
polished_blackstone_wall,2.0,6.0
chiseled_nether_bricks,2.0,6.0
cracked_nether_bricks,2.0,6.0
quartz_bricks,0.8,0.8
candle,0.1,0.1
white_candle,0.1,0.1
orange_candle,0.1,0.1
magenta_candle,0.1,0.1
light_blue_candle,0.1,0.1
yellow_candle,0.1,0.1
lime_candle,0.1,0.1
pink_candle,0.1,0.1
gray_candle,0.1,0.1
light_gray_candle,0.1,0.1
cyan_candle,0.1,0.1
purple_candle,0.1,0.1
blue_candle,0.1,0.1
brown_candle,0.1,0.1
green_candle,0.1,0.1
red_candle,0.1,0.1
black_candle,0.1,0.1
candle_cake,0.5,0.5
white_candle_cake,0.5,0.5
orange_candle_cake,0.5,0.5
magenta_candle_cake,0.5,0.5
light_blue_candle_cake,0.5,0.5
yellow_candle_cake,0.5,0.5
lime_candle_cake,0.5,0.5
pink_candle_cake,0.5,0.5
gray_candle_cake,0.5,0.5
light_gray_candle_cake,0.5,0.5
cyan_candle_cake,0.5,0.5
purple_candle_cake,0.5,0.5
blue_candle_cake,0.5,0.5
brown_candle_cake,0.5,0.5
green_candle_cake,0.5,0.5
red_candle_cake,0.5,0.5
black_candle_cake,0.5,0.5
amethyst_block,1.5,1.5
budding_amethyst,1.5,1.5
amethyst_cluster,1.5,1.5
large_amethyst_bud,1.5,1.5
medium_amethyst_bud,1.5,1.5
small_amethyst_bud,1.5,1.5
tuff,1.5,6.0
tuff_slab,1.5,6.0
tuff_stairs,1.5,6.0
tuff_wall,1.5,6.0
polished_tuff,1.5,6.0
polished_tuff_slab,1.5,6.0
polished_tuff_stairs,1.5,6.0
polished_tuff_wall,1.5,6.0
chiseled_tuff,1.5,6.0
tuff_bricks,1.5,6.0
tuff_brick_slab,1.5,6.0
tuff_brick_stairs,1.5,6.0
tuff_brick_wall,1.5,6.0
chiseled_tuff_bricks,1.5,6.0
calcite,0.75,0.75
tinted_glass,0.3,0.3
powder_snow,0.25,0.25
sculk_sensor,1.5,1.5
calibrated_sculk_sensor,1.5,1.5
sculk,0.2,0.2
sculk_vein,0.2,0.2
sculk_catalyst,3.0,3.0
sculk_shrieker,3.0,3.0
copper_block,3.0,6.0
exposed_copper,3.0,6.0
weathered_copper,3.0,6.0
oxidized_copper,3.0,6.0
copper_ore,3.0,3.0
deepslate_copper_ore,4.5,3.0
oxidized_cut_copper,3.0,6.0
weathered_cut_copper,3.0,6.0
exposed_cut_copper,3.0,6.0
cut_copper,3.0,6.0
oxidized_chiseled_copper,3.0,6.0
weathered_chiseled_copper,3.0,6.0
exposed_chiseled_copper,3.0,6.0
chiseled_copper,3.0,6.0
waxed_oxidized_chiseled_copper,3.0,6.0
waxed_weathered_chiseled_copper,3.0,6.0
waxed_exposed_chiseled_copper,3.0,6.0
waxed_chiseled_copper,3.0,6.0
oxidized_cut_copper_stairs,3.0,6.0
weathered_cut_copper_stairs,3.0,6.0
exposed_cut_copper_stairs,3.0,6.0
cut_copper_stairs,3.0,6.0
oxidized_cut_copper_slab,3.0,6.0
weathered_cut_copper_slab,3.0,6.0
exposed_cut_copper_slab,3.0,6.0
cut_copper_slab,3.0,6.0
waxed_copper_block,3.0,6.0
waxed_weathered_copper,3.0,6.0
waxed_exposed_copper,3.0,6.0
waxed_oxidized_copper,3.0,6.0
waxed_oxidized_cut_copper,3.0,6.0
waxed_weathered_cut_copper,3.0,6.0
waxed_exposed_cut_copper,3.0,6.0
waxed_cut_copper,3.0,6.0
waxed_oxidized_cut_copper_stairs,3.0,6.0
waxed_weathered_cut_copper_stairs,3.0,6.0
waxed_exposed_cut_copper_stairs,3.0,6.0
waxed_cut_copper_stairs,3.0,6.0
waxed_oxidized_cut_copper_slab,3.0,6.0
waxed_weathered_cut_copper_slab,3.0,6.0
waxed_exposed_cut_copper_slab,3.0,6.0
waxed_cut_copper_slab,3.0,6.0
copper_door,3.0,6.0
exposed_copper_door,3.0,6.0
oxidized_copper_door,3.0,6.0
weathered_copper_door,3.0,6.0
waxed_copper_door,3.0,6.0
waxed_exposed_copper_door,3.0,6.0
waxed_oxidized_copper_door,3.0,6.0
waxed_weathered_copper_door,3.0,6.0
copper_trapdoor,3.0,6.0
exposed_copper_trapdoor,3.0,6.0
oxidized_copper_trapdoor,3.0,6.0
weathered_copper_trapdoor,3.0,6.0
waxed_copper_trapdoor,3.0,6.0
waxed_exposed_copper_trapdoor,3.0,6.0
waxed_oxidized_copper_trapdoor,3.0,6.0
waxed_weathered_copper_trapdoor,3.0,6.0
copper_grate,3.0,6.0
exposed_copper_grate,3.0,6.0
weathered_copper_grate,3.0,6.0
oxidized_copper_grate,3.0,6.0
waxed_copper_grate,3.0,6.0
waxed_exposed_copper_grate,3.0,6.0
waxed_weathered_copper_grate,3.0,6.0
waxed_oxidized_copper_grate,3.0,6.0
copper_bulb,3.0,6.0
exposed_copper_bulb,3.0,6.0
weathered_copper_bulb,3.0,6.0
oxidized_copper_bulb,3.0,6.0
waxed_copper_bulb,3.0,6.0
waxed_exposed_copper_bulb,3.0,6.0
waxed_weathered_copper_bulb,3.0,6.0
waxed_oxidized_copper_bulb,3.0,6.0
copper_chest,3.0,6.0
exposed_copper_chest,3.0,6.0
weathered_copper_chest,3.0,6.0
oxidized_copper_chest,3.0,6.0
waxed_copper_chest,3.0,6.0
waxed_exposed_copper_chest,3.0,6.0
waxed_weathered_copper_chest,3.0,6.0
waxed_oxidized_copper_chest,3.0,6.0
copper_golem_statue,3.0,6.0
exposed_copper_golem_statue,3.0,6.0
weathered_copper_golem_statue,3.0,6.0
oxidized_copper_golem_statue,3.0,6.0
waxed_copper_golem_statue,3.0,6.0
waxed_exposed_copper_golem_statue,3.0,6.0
waxed_weathered_copper_golem_statue,3.0,6.0
waxed_oxidized_copper_golem_statue,3.0,6.0
lightning_rod,3.0,6.0
exposed_lightning_rod,3.0,6.0
weathered_lightning_rod,3.0,6.0
oxidized_lightning_rod,3.0,6.0
waxed_lightning_rod,3.0,6.0
waxed_exposed_lightning_rod,3.0,6.0
waxed_weathered_lightning_rod,3.0,6.0
waxed_oxidized_lightning_rod,3.0,6.0
pointed_dripstone,1.5,3.0
dripstone_block,1.5,1.0
cave_vines,0.0,0.0
cave_vines_plant,0.0,0.0
spore_blossom,0.0,0.0
azalea,0.0,0.0
flowering_azalea,0.0,0.0
moss_carpet,0.1,0.1
pink_petals,0.0,0.0
wildflowers,0.0,0.0
leaf_litter,0.0,0.0
moss_block,0.1,0.1
big_dripleaf,0.1,0.1
big_dripleaf_stem,0.1,0.1
small_dripleaf,0.0,0.0
hanging_roots,0.0,0.0
rooted_dirt,0.5,0.5
mud,0.5,0.5
deepslate,3.0,6.0
cobbled_deepslate,3.5,6.0
cobbled_deepslate_stairs,3.5,6.0
cobbled_deepslate_slab,3.5,6.0
cobbled_deepslate_wall,3.5,6.0
polished_deepslate,3.5,6.0
polished_deepslate_stairs,3.5,6.0
polished_deepslate_slab,3.5,6.0
polished_deepslate_wall,3.5,6.0
deepslate_tiles,3.5,6.0
deepslate_tile_stairs,3.5,6.0
deepslate_tile_slab,3.5,6.0
deepslate_tile_wall,3.5,6.0
deepslate_bricks,3.5,6.0
deepslate_brick_stairs,3.5,6.0
deepslate_brick_slab,3.5,6.0
deepslate_brick_wall,3.5,6.0
chiseled_deepslate,3.5,6.0
cracked_deepslate_bricks,3.5,6.0
cracked_deepslate_tiles,3.5,6.0
infested_deepslate,1.5,0.75
smooth_basalt,1.25,4.2
raw_iron_block,5.0,6.0
raw_copper_block,5.0,6.0
raw_gold_block,5.0,6.0
potted_azalea_bush,0.0,0.0
potted_flowering_azalea_bush,0.0,0.0
ochre_froglight,0.3,0.3
verdant_froglight,0.3,0.3
pearlescent_froglight,0.3,0.3
frogspawn,0.0,0.0
reinforced_deepslate,55.0,1200.0
decorated_pot,0.0,0.0
crafter,1.5,3.5
trial_spawner,50.0,50.0
vault,50.0,50.0
heavy_core,10.0,1200.0
pale_moss_block,0.1,0.1
pale_moss_carpet,0.1,0.1
pale_hanging_moss,0.0,0.0
open_eyeblossom,0.0,0.0
closed_eyeblossom,0.0,0.0
potted_open_eyeblossom,0.0,0.0
potted_closed_eyeblossom,0.0,0.0
firefly_bush,0.0,0.0
